rcv            	12.01	    D	    5251	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
rcv            	12.01	    D	    5301	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
rcv/corr       	12.01	    D	    5351	    50	     1
rcv            	12.01	    D	    5401	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
rcv            	12.01	    D	    5451	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
rcv            	12.01	    D	    5501	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
rcv            	12.01	    D	    5551	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
rcv            	12.01	    D	    5101	    50	     1
snd            	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5101	    50	     1
snd/DA         	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5601	    50	     1
snd/DA         	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5651	    50	     1
snd/DA         	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5701	    50	     1
snd/DA         	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5751	    50	     1
snd/DA         	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5801	    50	     1
snd/DA         	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5801	    50	     1
snd/DA         	12.01	    A	       1	     0	  5351
rcv            	12.01	    D	    5351	    50	     1
snd            	12.01	    A	       1	     0	  5851
rcv            	12.01	    D	    5351	    50	     1
snd/DA         	12.01	    A	       1	     0	  5851
rcv            	12.01	    D	    5901	    50	     1
snd/DA         	12.01	    A	       1	     0	  5851
rcv            	12.01	    D	    5951	    50	     1
snd/DA         	12.01	    A	       1	     0	  5851
rcv            	12.01	    D	    6051	    50	     1
snd/DA         	12.01	    A	       1	     0	  5851
rcv            	12.01	    D	    6101	    50	     1
snd/DA         	12.01	    A	       1	     0	  5851
rcv            	12.01	    D	    6151	    50	     1
snd/DA         	12.01	    A	       1	     0	  5851
rcv/corr       	12.01	    D	    6251	    50	     1
rcv            	12.01	    D	    6301	    50	     1
snd/DA         	12.01	    A	       1	     0	  5851
rcv            	12.01	    D	    5851	    50	     1
snd            	12.01	    A	       1	     0	  6001
rcv            	12.01	    D	    6351	    50	     1
snd/DA         	12.01	    A	       1	     0	  6001
rcv            	12.01	    D	    6401	    50	     1
snd/DA         	12.01	    A	       1	     0	  6001
rcv            	12.01	    D	    6451	    50	     1
snd/DA         	12.01	    A	       1	     0	  6001
rcv            	12.01	    D	    6001	    50	     1
snd            	12.01	    A	       1	     0	  6201
rcv            	12.01	    D	    6501	    50	     1
snd/DA         	12.01	    A	       1	     0	  6201
rcv            	12.01	    D	    6551	    50	     1
snd/DA         	12.01	    A	       1	     0	  6201
rcv            	12.01	    D	    6551	    50	     1
snd/DA         	12.01	    A	       1	     0	  6201
rcv/corr       	12.01	    D	    6601	    50	     1
rcv            	12.01	    D	    6651	    50	     1
snd/DA         	12.01	    A	       1	     0	  6201
rcv            	12.09	    D	    6201	    50	     1
snd            	12.09	    A	       1	     0	  6251
rcv            	12.09	    D	    6701	    50	     1
snd/DA         	12.09	    A	       1	     0	  6251
rcv            	12.17	    D	    6251	    50	     1
snd            	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    6751	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    6201	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    6801	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    6801	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    6851	    50	     1
snd/DA         	12.17	    A	       1	     0	  6601
rcv            	12.17	    D	    6901	    50	     1
